year,Sample.ID,cross,fat.dry,fat.wet,moisture
2012,1,LxL,22.1058023656514,5.74709810806165,74.0018570102136
2012,2,LxL,23.5874151531832,6.18564125660096,73.7756714060032
2012,3,LxL,23.1177817845136,5.99522696127143,74.066599394551
2012,4,LxL,19.5172515918855,4.86968900665389,75.0493096646943
2012,6,LxL,22.7891004771884,5.79383910436994,74.5762711864407
2012,7,LxL,21.3222376329175,5.23671153132392,75.4401408450704
2012,8,LxL,21.7480527960451,5.37140161575692,75.3016894609815
2012,9,LxL,20.5266903914588,5.04680480407421,75.4134509371555
2012,10,LxL,22.6789307272204,5.76370615166927,74.585635359116
2012,11,LxL,26.7362523157563,7.16368287238967,73.206106870229
2012,12,LxL,24.9673446538535,6.53450537828902,73.8277919863598
2012,13,LxL,24.0643097934132,6.08302902567998,74.7217806041335
2012,21,SxS,34.7310090048494,9.91137885434831,71.4624505928854
2012,22,SxS,35.3674479409846,10.2570127511306,70.9987195902689
2012,26,SxS,35.7704700530701,10.3585319528682,71.0416666666667
2012,27,SxS,32.2848912841481,8.75570814861615,72.8798586572438
2012,28,SxS,33.1805234110732,9.21362285030666,72.2318339100346
2012,29,SxS,34.3383507249049,9.60044916235962,72.0416124837451
2012,30,SxS,30.1643570737993,8.00278861141613,73.469387755102
2012,33,SxS,36.1218125114657,10.351749568273,71.342109244969
2012,34,SxS,29.263061829797,7.74547267961954,73.5315712187959
2012,35,SxS,32.7200353825742,8.97604997491758,72.5671140939597
2012,36,SxS,33.5171828595672,9.09713770167596,72.8582866293034
2012,37,SxS,30.1873229312026,8.12056640254572,73.0994152046784
2012,41,SxL,29.9282138471713,8.19318283224754,72.6238830219334
2012,42,SxL,28.9167646674506,7.56170932956332,73.8500851788756
2012,43,SxL,27.4626725514135,7.04666114675988,74.3409490333919
2012,44,SxL,28.6073905196162,7.41350059197371,74.0853658536585
2012,45,SxL,32.1185725078887,8.78646006537644,72.6436781609196
2012,46,SxL,27.4239500045952,6.97448605055138,74.5679012345679
2012,47,SxL,29.019918216594,7.57238490964249,73.90625
2012,48,SxL,28.2568722993472,7.33887663140122,74.0279937791602
2012,49,SxL,28.7627942078207,7.48783485575498,73.9669421487603
2012,50,SxL,28.6478440857713,7.50815853305334,73.7915407854985
2012,51,SxL,23.8990259294826,5.99342759637807,74.921875
2012,52,SxL,26.1447884866989,6.7282855200083,74.2652899126291
2012,61,LxS,24.2968253191804,6.25737310583618,74.2461287693562
2012,62,LxS,26.3533987607979,6.89445600175271,73.8384560400286
2012,63,LxS,27.3596176821982,7.19037886193309,73.7190082644628
2012,64,LxS,24.7833622183709,6.43774986708279,74.0239043824701
2012,65,LxS,25.7577723007743,6.77049238751697,73.7147595356551
2012,66,LxS,24.520560575327,6.24222428148268,74.5428973277075
2012,67,LxS,26.5706197980481,6.88429570120179,74.090571640683
2012,68,LxS,23.8093012386071,5.95232530965178,75
2012,69,LxS,25.8579213510723,6.66686738333355,74.2173112338858
2012,70,LxS,26.1291191523753,6.80621410178809,73.9516129032258
2012,71,LxS,27.4510674182243,7.14689414471286,73.9649681528662
2012,72,LxS,29.2385879767408,7.79695679379756,73.3333333333333
2013,13470,LxL,23.5959011264076,6.46302072685468,72.609561752988
2013,13411,LxL,18.7949854616522,4.72295284354053,74.8712077847739
2013,13377,LxL,20.0345745923473,5.37425977195311,73.1750741839763
2013,13436,LxL,23.428544134505,6.25920288565626,73.2838589981447
2013,14944,LxL,27.789807439487,7.75863645876242,72.0809995691512
2013,12008,LxL,21.1605328516593,5.55194997531671,73.7627118644068
2013,12075,LxL,23.2571621817476,6.24218205743875,73.1601731601731
2013,13475,LxL,23.5217592009732,6.29996331682656,73.2164449818622
2013,13442,LxL,26.6968735840503,7.30123265033527,72.6513569937369
2013,12129,LxL,30.0741485484479,8.41284362309662,72.0263281617301
2013,14153,LxL,23.2188945702458,6.20292833192846,73.2849972113776
2013,13466,LxL,25.7638020368051,7.14229002903778,72.277810476751
2013,13513,LxS,33.5132501218185,10.1367238022784,69.7530864197531
2013,13516,LxS,34.2312286337984,10.4354296772274,69.5148842337376
2013,13607,LxS,41.0453554134476,13.6817851378159,66.6666666666667
2013,15147,LxS,39.8106014020413,13.0705735329004,67.1681083113953
2013,13314,LxS,34.7214772814344,10.4424346029149,69.9251431087627
2013,13323,LxS,32.0800723640228,9.60489389774616,70.0596252129472
2013,13315,LxS,34.5631729009741,10.5224035893029,69.5560253699789
2013,13522,LxS,44.4793556666814,15.0069870717114,66.2607813292745
2013,13552,LxS,32.5538249126292,9.34482031507443,71.2942477876106
2013,15239,LxS,33.6024217961653,10.0597686874175,70.0623700623701
2013,13504,LxS,39.1817626704658,12.1736606373983,68.9302884615385
2013,13540,LxS,33.8621397417257,10.2976984342207,69.5893451720311
2013,13637,SxL,35.3210239194294,11.0401709481923,68.7433439829606
2013,13628,SxL,28.2834480038562,7.85441546702549,72.2296395193591
2013,15311,SxL,36.8284616072226,11.3566848545889,69.1632928475034
2013,13659,SxL,35.1735221300437,10.3517603714285,70.569451836083
2013,13712,SxL,25.6299590199671,6.98747805177982,72.7370689655172
2013,13629,SxL,29.5058803972902,8.23270341330385,72.0980926430518
2013,13732,SxL,32.5049780963763,10.2982361480455,68.3179723502304
2013,13346,SxL,27.830653101411,8.03536824365398,71.1276332094176
2013,13620,SxL,34.1289566236812,9.96835861780788,70.7920792079208
2013,13703,SxL,42.8918485098264,13.1125739009953,69.428750784683
2013,13670,SxL,30.420395227442,8.70305346904302,71.3907284768212
